Function,Sample num,F1 (410nm),F2 (440nm),F3 (470nm),F4 (510nm),F5 (550nm),F6 (583nm),F7 (620nm),F8 (670nm),CLEAR,SAIDA,filename
Raw data,44,275,356,429,584,709,762,815,1042,4861,1,data/_leiteiro.csv
Raw data,45,277,361,437,592,733,787,838,1056,4701,1,data/_leiteiro.csv
Raw data,46,269,340,425,550,675,738,781,975,4565,1,data/_leiteiro.csv
Raw data,47,270,331,411,544,641,719,750,909,4107,1,data/_leiteiro.csv
Raw data,48,244,301,378,492,600,677,726,857,4123,1,data/_leiteiro.csv
Raw data,49,252,326,405,517,648,688,736,915,4500,1,data/_leiteiro.csv
Raw data,50,277,352,429,578,724,781,826,1045,4756,1,data/_leiteiro.csv
Raw data,51,271,344,429,545,679,723,793,996,4516,1,data/_leiteiro.csv
Raw data,52,271,345,429,551,678,725,796,989,4434,1,data/_leiteiro.csv
Raw data,53,266,341,420,541,669,703,770,952,4569,1,data/_leiteiro.csv
Raw data,54,279,366,446,596,682,722,779,975,4426,1,data/_leiteiro.csv
Raw data,55,247,304,381,493,558,635,692,823,3662,1,data/_leiteiro.csv
Raw data,56,242,298,363,472,556,622,678,786,3787,1,data/_leiteiro.csv
Raw data,57,256,328,409,529,672,715,790,935,4568,1,data/_leiteiro.csv
Raw data,58,282,364,443,589,695,730,788,989,4597,1,data/_leiteiro.csv
Raw data,59,272,342,430,553,696,722,795,981,4841,1,data/_leiteiro.csv
Raw data,60,275,343,423,552,686,729,790,962,4851,1,data/_leiteiro.csv
Raw data,61,266,325,415,536,666,732,782,954,4644,1,data/_leiteiro.csv
Raw data,62,263,317,402,519,636,709,766,931,4382,1,data/_leiteiro.csv
Raw data,63,260,323,402,540,651,710,771,927,4412,1,data/_leiteiro.csv
Raw data,64,257,317,397,524,638,702,758,900,4245,1,data/_leiteiro.csv
Raw data,65,252,318,389,522,624,693,739,895,4008,1,data/_leiteiro.csv
Raw data,66,248,311,385,510,624,685,741,887,3988,1,data/_leiteiro.csv
Raw data,67,246,310,385,505,625,682,738,886,3913,1,data/_leiteiro.csv
Raw data,68,239,304,375,492,591,643,724,840,3833,1,data/_leiteiro.csv
Raw data,69,249,317,392,517,626,688,741,896,3947,1,data/_leiteiro.csv
Raw data,70,246,310,385,508,619,671,734,871,3931,1,data/_leiteiro.csv
Raw data,71,250,320,393,519,636,711,752,929,4066,1,data/_leiteiro.csv
Raw data,72,254,323,396,529,628,707,742,917,3981,1,data/_leiteiro.csv
Raw data,73,248,318,392,517,632,705,745,914,3994,1,data/_leiteiro.csv
Raw data,74,251,319,393,520,628,705,740,910,4003,1,data/_leiteiro.csv
Raw data,75,257,326,402,530,642,712,750,937,3984,1,data/_leiteiro.csv
Raw data,76,227,278,348,436,538,589,648,770,3666,1,data/_leiteiro.csv
Raw data,77,278,339,424,560,689,760,803,1000,4713,1,data/_leiteiro.csv
Raw data,78,270,340,423,547,664,726,775,990,4569,1,data/_leiteiro.csv
Raw data,79,268,345,440,557,710,759,852,1065,4563,1,data/_leiteiro.csv
Raw data,80,286,367,463,602,771,797,935,1125,4991,1,data/_leiteiro.csv
Raw data,81,299,382,483,620,771,826,896,1134,5069,1,data/_leiteiro.csv
Raw data,82,282,364,445,601,721,798,857,1102,5006,1,data/_leiteiro.csv
Raw data,83,283,369,451,603,722,801,860,1105,5022,1,data/_leiteiro.csv
Raw data,84,289,367,457,593,734,802,856,1099,5113,1,data/_leiteiro.csv
Raw data,85,288,364,456,590,728,797,866,1090,5121,1,data/_leiteiro.csv
Raw data,86,287,364,454,594,733,799,873,1089,5100,1,data/_leiteiro.csv
Raw data,87,296,382,470,610,748,819,879,1101,5160,1,data/_leiteiro.csv
Raw data,88,326,404,501,665,829,921,933,1229,5825,1,data/_leiteiro.csv
Raw data,89,338,420,522,689,849,938,957,1256,5595,1,data/_leiteiro.csv
Raw data,90,275,347,437,566,698,767,865,1022,4774,1,data/_leiteiro.csv
